Date,Batch Locations,Gravity,pH,Temperature,ABV,Planned Start Date,Product,Batch,Original Gravity,OG Date
06/13/2024 ,FV14,13.5000,0.0000,0.0000,0.00,05/23/2024 08:00 AM,Jalapeno IPA (7),Mango Hab 24068.1,13.50,05/23/2024 12:00 PM
06/13/2024 ,FV09,7.1000,4.5500,60.8000,0.013,06/10/2024 08:00 AM,Logger Road Lager,LRL 24076,9.51,06/10/2024 12:00 PM
06/13/2024 ,,1.8800,0.0000,0.0000,0.0698,05/22/2024 08:00 AM,Stowaway IPA 2.0,IPA 24067.3,14.66,05/22/2024 12:00 PM
06/13/2024 ,,14.6600,0.0000,0.0000,0.00,05/22/2024 08:00 AM,Stowaway IPA 2.0,IPA 24067.3,14.66,05/22/2024 12:00 PM
06/12/2024 ,,1.8800,0.0000,0.0000,0.0698,05/22/2024 08:00 AM,Stowaway IPA 2.0,IPA 24067.2,14.66,05/22/2024 12:00 PM
06/12/2024 ,,14.6600,0.0000,0.0000,0.00,05/22/2024 08:00 AM,Stowaway IPA 2.0,IPA 24067.2,14.66,05/22/2024 12:00 PM
06/12/2024 ,,3.9900,4.5000,0.0000,0.161,06/03/2024 08:00 AM,Coastal Storm,COS 24072,17.60,06/03/2024 12:00 PM
06/12/2024 ,,3.4600,4.4300,0.0000,0.161,06/03/2024 08:00 AM,Coastal Storm,COS 24072,17.60,06/03/2024 12:00 PM
06/12/2024 ,FV03,3.5900,4.5500,0.0000,0.0529,06/03/2024 08:00 AM,Coastal Haze,COHZ 24071,13.35,06/03/2024 12:00 PM
06/12/2024 ,FV03,4.2000,4.4700,69.7000,0.0498,06/03/2024 08:00 AM,Coastal Haze,COHZ 24071,13.35,06/03/2024 12:00 PM
06/12/2024 ,FV01,2.5000,4.4100,68.6000,0.047,06/04/2024 08:00 AM,Baxter Pale Ale,BPA 24073,11.25,06/04/2024 12:00 PM
06/12/2024 ,,4.6000,3.1800,67.2000,0.0597,06/04/2024 08:00 AM,Limonchello,LEM 24074,15.60,06/04/2024 12:00 PM
